id,zipcode,date,price,price_median,condition_type,status
7129300520,98178,2014-10-13,221900.0,278277.0,regular,buy
5631500400,98028,2015-02-25,180000.0,445000.0,regular,buy
1954400510,98074,2015-02-18,510000.0,642000.0,regular,buy
1321400060,98003,2014-06-27,257500.0,267475.0,regular,buy
2414600126,98146,2015-04-15,229500.0,305000.0,regular,buy
3793500160,98038,2015-03-12,323000.0,342000.0,regular,buy
9212900260,98115,2014-05-27,468000.0,567000.0,regular,buy
114101516,98028,2014-05-28,310000.0,445000.0,regular,buy
6054650070,98074,2014-10-07,400000.0,642000.0,regular,buy
1875500060,98019,2014-07-31,395000.0,401250.0,regular,buy
6865200140,98103,2014-05-29,485000.0,550000.0,regular,buy
16000397,98002,2014-12-05,189000.0,235000.0,regular,buy
7983200060,98003,2015-04-24,230000.0,267475.0,regular,buy
7137970340,98092,2014-07-03,285000.0,309780.0,regular,buy
8091400200,98030,2014-05-16,252700.0,282255.0,regular,buy
1202000200,98002,2014-11-03,233000.0,235000.0,good,buy
3303700376,98112,2014-12-01,667000.0,915000.0,good,buy
5101402488,98115,2014-06-24,438000.0,567000.0,regular,buy
2426039314,98133,2014-12-01,280000.0,375000.0,regular,buy
7589200193,98117,2014-11-10,535000.0,544000.0,regular,buy
7955080270,98058,2014-12-03,322500.0,335000.0,regular,buy
5547700270,98074,2014-07-15,625000.0,642000.0,regular,buy
9270200160,98119,2014-10-28,685000.0,744975.0,regular,buy
1432701230,98058,2014-07-29,309000.0,335000.0,regular,buy
8945200830,98023,2015-03-25,210490.0,268450.0,regular,buy
9215400105,98115,2015-04-28,450000.0,567000.0,regular,buy
5245600105,98148,2014-09-16,228000.0,278000.0,regular,buy
7231300125,98056,2015-02-17,345000.0,380000.0,regular,buy
8079040320,98059,2015-02-23,430000.0,435000.0,regular,buy
9528102996,98115,2014-12-07,549000.0,567000.0,regular,buy
1189001180,98122,2014-06-03,425000.0,572000.0,regular,buy
3253500160,98144,2014-11-20,317625.0,450000.0,good,buy
3394100030,98004,2014-09-09,975000.0,1150000.0,regular,buy
1274500060,98042,2014-08-25,204000.0,292000.0,regular,buy
1049000060,98034,2015-01-05,325000.0,445950.0,regular,buy
4036801170,98008,2014-10-13,380000.0,545000.0,regular,buy
2391600320,98116,2015-04-20,480000.0,562750.0,regular,buy
9418400240,98118,2014-10-28,355000.0,367500.0,regular,buy
1523059105,98059,2015-01-28,356000.0,435000.0,regular,buy
1133000671,98125,2014-06-02,315000.0,425000.0,regular,buy
2599001200,98092,2014-11-03,305000.0,309780.0,good,buy
1332700270,98056,2014-05-19,215000.0,380000.0,regular,buy
3869900162,98136,2014-09-04,335000.0,489950.0,regular,buy
2791500270,98023,2014-05-22,243500.0,268450.0,regular,buy
4168000060,98023,2015-02-26,153000.0,268450.0,regular,buy
6021501535,98117,2014-07-25,430000.0,544000.0,regular,buy
1483300570,98040,2014-09-08,905000.0,993750.0,regular,buy
3422049190,98032,2015-03-30,247500.0,249000.0,regular,buy
1099611230,98023,2014-09-12,199000.0,268450.0,regular,buy
722079104,98038,2014-07-11,314000.0,342000.0,good,buy
2450000295,98004,2014-10-07,1088000.0,1150000.0,regular,buy
6197800045,98058,2014-09-24,290000.0,335000.0,regular,buy
546000875,98117,2014-05-23,460000.0,544000.0,regular,buy
3530510041,98198,2014-07-23,188500.0,265000.0,regular,buy
3134100116,98052,2014-08-27,470000.0,615000.0,regular,buy
2525310310,98038,2014-09-16,272500.0,342000.0,regular,buy
6126500060,98108,2014-11-24,329950.0,342500.0,regular,buy
3362400431,98103,2014-06-26,518500.0,550000.0,regular,buy
4060000240,98178,2014-06-23,205425.0,278277.0,regular,buy
3454800060,98168,2015-01-08,171800.0,235000.0,regular,buy
6675500070,98034,2014-11-19,391500.0,445950.0,regular,buy
3626039187,98117,2015-04-06,395000.0,544000.0,regular,buy
8732020310,98023,2014-07-17,260000.0,268450.0,regular,buy
7853210060,98065,2015-04-06,430000.0,500000.0,regular,buy
3668000070,98092,2015-01-05,212000.0,309780.0,regular,buy
8929000270,98029,2014-05-12,453246.0,575000.0,regular,buy
921049315,98003,2014-08-13,199000.0,267475.0,regular,buy
3655000070,98003,2014-08-05,220000.0,267475.0,regular,buy
3992700335,98125,2014-07-07,382500.0,425000.0,regular,buy
2767603505,98107,2014-05-07,519950.0,529950.0,regular,buy
4232901525,98119,2014-06-27,665000.0,744975.0,regular,buy
1777500060,98006,2014-07-08,527700.0,760184.5,regular,buy
1432900240,98058,2015-05-08,205000.0,335000.0,regular,buy
6071600370,98006,2015-02-27,500000.0,760184.5,regular,buy
3224079105,98027,2014-08-06,430000.0,570500.0,regular,buy
